profile_name,total_likes,total_comments,total_engagement,total_posts
mario.pahl.shabbygarten,48298.0,1771,50069.0,500
beton.gold.official,17826.0,556,18382.0,431
grubenholz,13745.0,933,14678.0,138
ep3octaviars,2392.0,60,2452.0,8
rogersonderegger,1941.0,72,2013.0,103
press.julian,1847.0,66,1913.0,19
kfz_reifenservice_molfsee_,1785.0,18,1803.0,32
room.base24,635.0,1,636.0,24
seeluft.immobilien,259.0,44,303.0,82
international__vgartcurator,207.0,10,217.0,1
ewe_michael,184.0,9,193.0,20
ilonac.kneissler,160.0,28,188.0,16
